peak_id,peak_name,elevation_ft,summit_lat,summit_lon,nearest_city,trailhead_name,trailhead_lat,trailhead_lon
200,Tucker Mountain,12326,39.4552293,-106.1797325,,,,
201,Sheep Mountain,12352,39.414691,-106.2285592,,,,
202,Gold Hill,11913,39.4160676,-106.1603098,,,,
203,Fletcher Mountain,13842,39.4031988,-106.1287279,,,,
204,Little Bartlett Mountain,12884,39.3857985,-106.1612716,,,,
205,Wheeler Mountain,13507,39.3804048,-106.1358001,,,,
206,Bartlett Mountain,13199,39.3769097,-106.1591995,,,,
207,Peak Six,12562,39.4938196,-106.1113148,,,,
208,Peak Seven,12625,39.4784298,-106.1052225,,,,
209,Peak Eight,12900,39.4726922,-106.1024673,,,,
210,Peak Nine,13153,39.4515151,-106.1049864,,,,
211,Peak Ten,13524,39.4431527,-106.1028093,,,,
212,Crystal Peak,13763,39.4345416,-106.1143261,,,,
213,Mount Helen,13045,39.4285095,-106.0871889,,,,
214,Pacific Peak,13852,39.4230866,-106.1231723,,,,
215,Quandary Peak,14272,39.3972537,-106.1063989,,,,
216,North Star Mountain,13415,39.377399,-106.1076986,,,,
217,Red Mountain,13159,39.3944055,-106.0221011,,,,
218,Red Peak,13100,39.3910267,-106.004193,,,,
219,Sellar Peak,11975,39.3117096,-106.5635892,,,,
220,Mount Nast,12382,39.2511753,-106.6117304,,,,
221,Wildcat Mountain,12024,39.2794092,-106.5427121,,,,
222,Homestake Peak,13074,39.3675144,-106.4146325,,,,
223,Galena Mountain,12858,39.3149065,-106.4323575,,,,
224,Buckeye Peak,12838,39.345571,-106.2535389,,,,
225,Mount Zion,12113,39.3113051,-106.2752926,,,,
226,Clinton Peak,13799,39.3681328,-106.1487056,,,,
227,McNamee Peak,13655,39.3625982,-106.1530464,,,,
228,Traver Peak,13720,39.3585103,-106.1483658,,,,
229,Mount Arkansas,13717,39.3324327,-106.1782816,,,,
230,Treasurevault Mountain,13599,39.3064215,-106.1835154,,,,
231,Mosquito Peak,13707,39.300377,-106.1826807,,,,
232,Prospect Mountain,12605,39.2789053,-106.237063,,,,
233,Mount Buckskin,13747,39.3207684,-106.1510739,,,,
234,Loveland Mountain,13648,39.3084437,-106.1397409,,,,
235,Little Ellen Hill,12359,39.2524503,-106.2035118,,,,
236,Mount Evans,13540,39.256795,-106.1815489,,,,
237,London Mountain,13081,39.2844441,-106.1583226,,,,
238,Pennsylvania Mountain,12999,39.264689,-106.1421467,,,,
239,Mount Lincoln,14293,39.351504,-106.1113773,,,,
240,Mount Cameron,14238,39.3463459,-106.1189002,,,,
241,Mount Bross,14178,39.3349948,-106.1071665,,,,
242,Mount Silverheels,13717,39.3392986,-106.0054138,,,,
243,Baldy Mountain,13074,39.1477873,-106.9658646,,,,
244,Highland Peak,12303,39.128871,-106.8769749,,,,
245,Geissler Mountain,13123,39.1451331,-106.5829047,,,,
246,Deer Mountain,13655,39.1574604,-106.5212362,,,,
247,Mount Champion,13586,39.1320898,-106.521471,,,,
248,Mount Massive,14427,39.1873242,-106.4756085,,,,
249,French Mountain,13776,39.1283791,-106.4822818,,,,
250,Long and Derry Hill,12024,39.2173179,-106.2196479,,,,
251,Ball Mountain,12303,39.237339,-106.2215925,,,,
252,Rocky Point,12028,39.1785294,-106.2286429,,,,
253,Empire Hill,12280,39.1917794,-106.2193271,,,,
254,Mount Sheridan,13671,39.2091843,-106.1847544,,,,
255,West Sheridan,12900,39.2169002,-106.2022108,,,,
256,Mount Sherman,14043,39.2251336,-106.1699259,,,,
257,Gemini Peak,13888,39.2347393,-106.1681509,,,,
258,Dyer Mountain,13796,39.2398887,-106.1831941,,,,
259,East Ball Mountain,12815,39.2386163,-106.2018902,,,,
260,West Dyer Mountain,12959,39.2435948,-106.1948395,,,,
261,Ptarmigan Peak,13635,39.1503246,-106.1743044,,,,
262,Horseshoe Mountain,13819,39.1857848,-106.185224,,,,
263,Finnback Knob,13301,39.1925179,-106.1917633,,,,
264,Peerless Mountain,13317,39.1981067,-106.1790067,,,,
265,Weston Peak,13550,39.1364027,-106.1638771,,,,
266,Lamb Mountain,12320,39.1902625,-106.1212908,,,,
267,Sheep Mountain,12707,39.1937121,-106.1117818,,,,
268,North Maroon Peak,14022,39.076094,-106.9870852,,,,
269,Pyramid Peak,14029,39.0717385,-106.9499676,,,,
270,Keefe Peak,13327,39.0326175,-106.9042174,,,,
271,Belleview Mountain,12890,39.0445446,-106.9984531,,,,
272,Maroon Peak,14163,39.0706997,-106.9888794,,,,
273,Hunter Peak,13323,39.052956,-106.903812,,,,
274,Hayden Peak,13419,39.0592282,-106.8519311,,,,
275,Ashcroft Mountain,12372,39.0428954,-106.7778047,,,,
276,McArthur Mountain,12090,39.0593173,-106.7673333,,,,
277,Cathedral Peak,13750,39.0343619,-106.8588973,,,,
278,Conundrum Peak,13832,39.0144457,-106.86364,,,,
279,Castle Peak,14274,39.0096902,-106.8612901,,,,
280,Green Mountain,12671,39.1092705,-106.6540834,,,,
281,New York Peak,12621,39.0858838,-106.6930356,,,,
282,Gold Hill,12205,39.0459843,-106.7397692,,,,
283,Larson Peak,12690,39.032863,-106.6352582,,,,
284,Truro Peak,13071,39.0460183,-106.6318175,,,,
285,Independence Mountain,12654,39.0940177,-106.6106822,,,,
286,Star Mountain,12897,39.061602,-106.5332022,,,,
287,Ouray Peak,12792,39.0542685,-106.5651273,,,,
288,Grizzly Peak,13842,39.0424852,-106.597521,,,,
289,Red Mountain,13379,39.0248467,-106.5917304,,,,
290,Middle Mountain,12953,39.0127637,-106.5755961,,,,
291,Garfield Peak,13678,39.0306078,-106.5950007,,,,
292,Bull Hill,13638,39.0995626,-106.4625828,,,,
293,Casco Peak,13793,39.1140514,-106.4938211,,,,
294,Mount Elbert,14438,39.1178687,-106.4452569,,,,
295,Parry Peak,12628,39.084019,-106.4138403,,,,
296,La Plata Peak,14344,39.0293628,-106.4731089,,,,
297,Twin Peaks,13287,39.0423585,-106.4254736,,,,
298,Quail Mountain,13445,39.0178923,-106.3946729,,,,
299,Mount Hope,13845,39.0210977,-106.4198667,,,,
300,South Peak,12881,39.1220521,-106.2057999,,,,
301,Mount Epworth,11818,39.922382,-105.6952503,,,,
302,Mount Nystrom,12618,39.8090505,-105.9018608,,,,
303,Saint Louis Peak,12169,39.7949801,-105.9386149,,,,
304,Bills Peak,12612,39.8557804,-105.9626778,,,,
305,Byers Peak,12746,39.8645727,-105.947484,,,,
306,Stanley Mountain,12467,39.785583,-105.8228409,,,,
307,Colorado Mines Peak,12461,39.7949897,-105.764033,,,,
308,Vasquez Peak,12785,39.7960915,-105.8550001,,,,
309,Twin Cones,12028,39.8372852,-105.7861716,,,,
310,Cone Mountain,12136,39.7828715,-105.740893,,,,
311,Mount Eva,13028,39.8276127,-105.7189062,,,,
312,Witter Peak,12825,39.8145101,-105.7162558,,,,
313,Breckinridge Peak,12808,39.799145,-105.7242902,,,,
314,Mount Flora,13084,39.8048325,-105.7360837,,,,
315,Parry Peak,13304,39.8380364,-105.7133278,,,,
316,James Peak,13222,39.8520053,-105.6902726,,,,
317,Mount Bancroft,13179,39.8373802,-105.7001204,,,,
318,Kingston Peak,12073,39.8475962,-105.6507826,,,,
319,Mount Trelease,12425,39.695569,-105.9028218,,,,
320,Coon Hill,12690,39.6887702,-105.9456895,,,,
321,Hagar Mountain,13045,39.7102747,-105.9209853,,,,
322,Pettingell Peak,13435,39.7286355,-105.9046172,,,,
323,Grizzly Peak,13340,39.644111,-105.8486543,,,,
324,Grays Peak,14275,39.6337372,-105.8173702,,,,
325,Mount Edwards,13770,39.63632,-105.7940156,,,,
326,Torreys Peak,14272,39.6426923,-105.8211948,,,,
327,Kelso Mountain,13074,39.6588695,-105.8002759,,,,
328,Baker Mountain,12589,39.6607654,-105.8402538,,,,
329,Ganley Mountain,12789,39.6685557,-105.7763215,,,,
330,Mount Sniktau,13091,39.6784129,-105.8575207,,,,
331,Woods Mountain,12887,39.7304544,-105.8397217,,,,
332,Engelmann Peak,13314,39.7454702,-105.8006821,,,,
333,Robeson Peak,13084,39.7332287,-105.8062809,,,,
334,Mount Parnassus,13533,39.7200631,-105.822606,,,,
335,Bard Peak,13455,39.7203245,-105.8042516,,,,
336,Silver Plume Mountain,12454,39.7138696,-105.7669409,,,,
337,Otter Mountain,12753,39.6278081,-105.7323251,,,,
338,Paines Mountain,12041,39.6588697,-105.726384,,,,
339,Sugarloaf Peak,12444,39.6496537,-105.6914032,,,,
340,Republican Mountain,12320,39.7143234,-105.7352503,,,,
341,Goliath Peak,12201,39.6403522,-105.5989227,,,,
342,Wise Mountain,12024,39.5113069,-105.9042758,,,,
343,Independence Mountain,12530,39.5816272,-105.9100876,,,,
344,Bear Mountain,12474,39.5721365,-105.9035495,,,,
345,Keystone Mountain,12398,39.5590468,-105.9104097,,,,
346,Handcart Peak,12493,39.5236838,-105.84545,,,,
347,Radical Hill,12297,39.5358966,-105.8656427,,,,
348,Teller Mountain,12507,39.5360917,-105.8568393,,,,
349,Red Cone,12717,39.5268955,-105.8220919,,,,
350,Geneva Peak,13202,39.5537902,-105.8235046,,,,
351,Landslide Peak,13212,39.552087,-105.8161545,,,,
352,Sullivan Mountain,13081,39.56297,-105.8287182,,,,
353,Silver Mountain,12697,39.5827914,-105.8215623,,,,
354,Revenue Mountain,12697,39.58338,-105.8084395,,,,
355,Collier Mountain,13107,39.5688695,-105.8369445,,,,
356,Santa Fe Peak,13107,39.5688695,-105.8369445,,,,
357,Tiptop Peak,11929,39.5876261,-105.8522657,,,,
358,Morgan Peak,12349,39.586763,-105.8452352,,,,
359,Brittle Silver Mountain,12126,39.5924773,-105.8219856,,,,
360,Decatur Mountain,12861,39.5947358,-105.7949982,,,,
361,Cooper Mountain,12740,39.6123814,-105.8279286,,,,
362,Ruby Mountain,13241,39.6165513,-105.8141645,,,,
363,Mount Wilcox,13337,39.6155399,-105.7573666,,,,
364,Argentine Peak,13711,39.6121037,-105.7772412,,,,
365,Square Top Mountain,13757,39.5926029,-105.7639108,,,,
366,Kataka Mountain,12408,39.529376,-105.6609763,,,,
367,Epaulet Mountain,13494,39.5707025,-105.63198,,,,
368,Tahana Mountain,11949,39.5449814,-105.6455488,,,,
369,Geneva Mountain,12323,39.5507682,-105.6938002,,,,
370,Mount Bierstadt,14066,39.5826432,-105.6687551,,,,
371,Gray Wolf Mountain,13576,39.6172034,-105.6606334,,,,
372,Mount Warren,13173,39.6051104,-105.633389,,,,
373,Mount Spalding,13747,39.6000308,-105.6569377,,,,
374,Bandit Peak,12415,39.5397136,-105.6043067,,,,
375,Rosalie Peak,13553,39.5561589,-105.6064665,,,,
376,Rogers Peak,13294,39.6155008,-105.6175483,,,,
377,Glacier Peak,12789,39.4842964,-105.8839139,,,,
378,Mount Guyot,13209,39.4585882,-105.9378693,,,,
379,Bald Mountain,13652,39.4448809,-105.9705017,,,,
380,Boreas Mountain,13048,39.4061136,-105.9486366,,,,
381,Whale Peak,12995,39.4942594,-105.8666908,,,,
382,Mount Logan,12867,39.4957321,-105.6314035,,,,
383,North Twin Cone Peak,12257,39.4284267,-105.7021972,,,,
384,Mount Blaine,12267,39.4301142,-105.6805942,,,,
385,South Twin Cone Peak,12251,39.4149942,-105.6821096,,,,
386,Shawnee Peak,11844,39.396931,-105.5965086,,,,
387,Little Baldy Mountain,12123,39.3285936,-105.9480611,,,,
388,Palmer Peak,12467,39.3198953,-105.9897922,,,,
389,North Tarryall Peak,11850,39.3119272,-105.6104217,,,,
390,Windy Peak,11916,39.3022842,-105.4398189,,,,
391,Bison Mountain,12379,39.2384549,-105.497854,,,,
392,McCurdy Mountain,12073,39.219445,-105.4680234,,,,
393,Granite Peak,12077,37.4689699,-107.4114753,,,,
394,Three Sisters Peaks,11831,37.4833825,-107.3979001,,,,
395,Pagosa Peak,12526,37.443951,-107.0665925,,,,
396,Cherry Cairn,12457,37.4677094,-107.0319355,,,,
