peak_name,elevation_ft,summit_lat,summit_lon,trailhead_name,trailhead_lat,trailhead_lon
Radical Hill,12297,39.5358966,-105.8656427,,,
Teller Mountain,12507,39.5360917,-105.8568393,,,
Red Cone,12717,39.5268955,-105.8220919,,,
Geneva Peak,13202,39.5537902,-105.8235046,,,
Landslide Peak,13212,39.552087,-105.8161545,,,
Sullivan Mountain,13081,39.56297,-105.8287182,,,
Silver Mountain,12697,39.5827914,-105.8215623,,,
Revenue Mountain,12697,39.58338,-105.8084395,,,
Collier Mountain,13107,39.5688695,-105.8369445,,,
Santa Fe Peak,13107,39.5688695,-105.8369445,,,
Tiptop Peak,11929,39.5876261,-105.8522657,,,
Morgan Peak,12349,39.586763,-105.8452352,,,
Brittle Silver Mountain,12126,39.5924773,-105.8219856,,,
Decatur Mountain,12861,39.5947358,-105.7949982,,,
Cooper Mountain,12740,39.6123814,-105.8279286,,,
Ruby Mountain,13241,39.6165513,-105.8141645,,,
Mount Wilcox,13337,39.6155399,-105.7573666,,,
Argentine Peak,13711,39.6121037,-105.7772412,,,
Square Top Mountain,13757,39.5926029,-105.7639108,,,
Kataka Mountain,12408,39.529376,-105.6609763,,,
Epaulet Mountain,13494,39.5707025,-105.63198,,,
Tahana Mountain,11949,39.5449814,-105.6455488,,,
Geneva Mountain,12323,39.5507682,-105.6938002,,,
Mount Bierstadt,14066,39.5826432,-105.6687551,,,
Gray Wolf Mountain,13576,39.6172034,-105.6606334,,,
Mount Warren,13173,39.6051104,-105.633389,,,
Mount Spalding,13747,39.6000308,-105.6569377,,,
Bandit Peak,12415,39.5397136,-105.6043067,,,
Rosalie Peak,13553,39.5561589,-105.6064665,,,
Rogers Peak,13294,39.6155008,-105.6175483,,,
Glacier Peak,12789,39.4842964,-105.8839139,,,
Mount Guyot,13209,39.4585882,-105.9378693,,,
Bald Mountain,13652,39.4448809,-105.9705017,,,
Boreas Mountain,13048,39.4061136,-105.9486366,,,
Whale Peak,12995,39.4942594,-105.8666908,,,
Mount Logan,12867,39.4957321,-105.6314035,,,
North Twin Cone Peak,12257,39.4284267,-105.7021972,,,
